Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,productivity_score,engagement_score,risk_score,work_life_balance_score,tenure_factor,cluster,swot_category,outlier,attrition_probability,attrition_risk_level
1,IT,Male,55,Specialist,2022-01-19 08:03:05.556036,2,High School,5,6750.0,33,32,22,2,0,14,66,0,2.63,False,2.58,2.06,,3,2,2,Opportunity,0,0.09843908226996084,Very Low
2,Finance,Male,29,Developer,2024-04-18 08:03:05.556036,0,High School,5,7500.0,34,34,13,14,100,12,61,2,1.72,False,2.17,1.2,,4,1,2,Opportunity,0,0.09904173597685705,Very Low
3,Finance,Male,55,Specialist,2015-10-26 08:03:05.556036,8,High School,3,5850.0,37,27,6,3,50,10,1,0,3.17,False,1.61,0.44,,4,4,1,Weakness,0,0.09869848358232797,Very Low
4,Customer Support,Female,48,Analyst,2016-10-22 08:03:05.556036,7,Bachelor,2,4800.0,52,10,28,12,100,10,0,1,1.86,False,0.71,-0.53,,2,4,1,Weakness,1,0.10240378961755837,Low
5,Engineering,Female,36,Analyst,2021-07-23 08:03:05.556036,3,Bachelor,2,4800.0,38,11,29,13,100,15,9,1,1.25,False,0.65,-0.59,,2,2,1,Weakness,1,0.10279438820628137,Low
6,IT,Male,43,Manager,2016-08-14 08:03:05.556036,8,High School,3,7800.0,46,31,8,0,100,15,95,0,2.77,False,2.12,3.07,,4,4,0,Opportunity,0,0.10051710684410972,Low
7,IT,Male,37,Technician,2023-08-28 08:03:05.556036,1,Bachelor,5,5250.0,55,20,29,2,0,16,27,0,4.46,False,2.4,1.54,,2,1,2,Opportunity,0,0.0971490294475925,Very Low
8,Engineering,Female,55,Engineer,2014-10-27 08:03:05.556036,9,Bachelor,2,7200.0,42,46,7,8,100,7,64,0,2.09,False,1.62,1.12,,4,4,0,Opportunity,0,0.10124956413552669,Low
9,Marketing,Female,55,Technician,2023-06-29 08:03:05.556036,1,High School,2,4200.0,51,23,21,14,0,1,0,1,1.44,False,0.84,-0.89,,3,1,1,Weakness,1,0.10227753663527496,Low
10,Engineering,Female,45,Consultant,2016-12-23 08:03:05.556036,7,Bachelor,1,6050.0,41,33,2,6,75,4,53,2,2.93,False,1.13,2.31,,5,4,0,Opportunity,0,0.10148623799255295,Low
11,Customer Support,Male,52,Engineer,2019-11-26 08:03:05.556036,4,Bachelor,3,7800.0,38,1,5,0,25,4,90,1,2.34,False,1.55,3.34,,5,3,0,Opportunity,0,0.10136336466107874,Low
12,Customer Support,Male,27,Technician,2015-02-19 08:03:05.556036,9,Bachelor,5,5250.0,39,13,2,13,25,5,88,0,1.96,False,1.97,1.07,,5,4,0,Opportunity,0,0.09930502842019837,Very Low
13,HR,Male,51,Technician,2019-07-04 08:03:05.556036,5,Bachelor,4,4900.0,31,11,16,1,75,7,17,2,2.13,False,1.74,1.83,,3,3,3,Opportunity,0,0.09963845486510675,Very Low
14,Engineering,Male,27,Analyst,2014-10-14 08:03:05.556036,9,Bachelor,4,5600.0,33,30,5,13,25,4,26,1,1.46,False,1.67,-0.11,,5,4,1,Weakness,0,0.0995764447318494,Very Low
15,Finance,Male,46,Analyst,2023-03-11 08:03:05.556036,1,Master,1,4400.0,33,49,13,1,100,13,37,1,2.22,False,1.45,1.86,,4,1,2,Opportunity,0,0.1017306884349596,Low
16,Customer Support,Male,26,Developer,2023-04-19 08:03:05.556036,1,High School,2,6000.0,33,41,9,13,50,3,46,1,2.42,False,1.29,0.63,,4,1,2,Opportunity,0,0.10066358229966323,Low
17,Operations,Male,29,Engineer,2019-09-21 08:03:05.556036,4,Bachelor,2,7200.0,43,26,29,12,0,6,76,2,3.15,False,1.24,2.19,,2,3,3,Opportunity,0,0.10159342518737681,Low
18,Sales,Other,28,Developer,2022-11-08 08:03:05.556036,1,High School,3,6500.0,47,36,6,12,75,12,54,0,1.19,False,1.62,0.15,,4,1,2,Opportunity,0,0.1013466485058903,Low
19,Customer Support,Other,56,Developer,2015-10-01 08:03:05.556036,8,Bachelor,1,5500.0,57,9,24,1,75,1,36,0,1.12,False,0.84,1.06,,3,4,1,Weakness,1,0.1046712901106287,Low
20,Finance,Male,23,Technician,2015-05-08 08:03:05.556036,9,High School,2,4200.0,52,0,9,1,0,5,66,0,3.91,False,1.2,2.5,,4,4,0,Opportunity,0,0.10084567060865253,Low
21,Operations,Female,33,Manager,2022-12-19 08:03:05.556036,1,Bachelor,1,6600.0,33,28,13,13,50,15,53,2,3.7,False,0.8,1.62,,4,1,2,Opportunity,0,0.10092664391597622,Low
22,Sales,Male,59,Manager,2017-05-25 08:03:05.556036,7,Master,5,9000.0,30,22,9,2,25,4,20,0,4.66,False,2.31,1.42,,4,4,0,Opportunity,0,0.09565442387276246,Very Low
23,Finance,Male,26,Specialist,2016-07-23 08:03:05.556036,8,High School,4,6300.0,48,40,9,13,0,13,71,2,3.68,False,2.13,2.07,,4,4,0,Opportunity,0,0.0982668819292319,Very Low
24,Sales,Male,58,Consultant,2018-01-21 08:03:05.556036,6,Master,2,6600.0,55,2,28,8,25,6,78,2,4.26,False,1.06,3.01,,2,4,3,Opportunity,0,0.10134837368560666,Low
25,HR,Female,38,Analyst,2018-06-23 08:03:05.556036,6,Bachelor,2,4800.0,50,21,24,11,25,7,49,1,4.43,False,1.17,1.46,,3,4,3,Opportunity,0,0.10002743598629893,Low
26,Customer Support,Male,38,Specialist,2022-05-03 08:03:05.556036,2,Bachelor,5,6750.0,59,24,0,13,25,3,9,2,2.12,False,1.98,0.13,,5,2,1,Weakness,1,0.09842246454686285,Very Low
27,Finance,Male,45,Engineer,2021-07-12 08:03:05.556036,3,Bachelor,2,7200.0,59,24,23,6,0,7,26,1,3.16,False,1.3,1.19,,3,2,1,Weakness,0,0.10115849117404938,Low
28,Legal,Male,43,Manager,2014-11-22 08:03:05.556036,9,Master,3,7800.0,44,42,3,10,75,4,45,2,1.35,True,1.74,1.21,,5,4,0,Opportunity,0,0.10091391841097583,Low
29,Engineering,Male,53,Specialist,2022-04-17 08:03:05.556036,2,Bachelor,2,5400.0,31,34,14,6,50,6,42,1,4.52,False,1.45,1.93,,4,2,2,Opportunity,0,0.09882428055130398,Very Low
30,Finance,Male,52,Analyst,2023-06-21 08:03:05.556036,1,High School,3,5200.0,45,25,29,9,25,2,37,2,4.95,False,1.59,2.04,,2,1,2,Opportunity,0,0.09841752083820506,Very Low
