Employee_ID,Department,Job_Title,productivity_score,engagement_score,risk_score,swot_category,outlier,anomaly_level
1,IT,Specialist,2.37,1.17,,Opportunity,0,Low
2,Finance,Developer,2.36,1.52,,Opportunity,0,Low
3,Finance,Specialist,1.72,1.03,,Opportunity,0,Low
4,Customer Support,Analyst,1.19,0.67,,Weakness,0,Medium
5,Engineering,Analyst,1.09,0.41,,Weakness,1,High
6,IT,Manager,2.04,1.64,,Opportunity,0,Low
7,IT,Technician,2.33,1.66,,Opportunity,0,Medium
8,Engineering,Engineer,1.97,0.63,,Opportunity,0,Low
9,Marketing,Technician,1.42,0.24,,Weakness,0,Medium
10,Engineering,Consultant,1.49,2.51,,Opportunity,0,Low
11,Customer Support,Engineer,1.35,2.11,,Opportunity,0,Low
12,Customer Support,Technician,2.05,0.23,,Opportunity,0,Medium
13,HR,Technician,1.57,2.4,,Opportunity,0,Low
14,Engineering,Analyst,1.95,0.48,,Opportunity,0,Medium
15,Finance,Analyst,1.67,1.82,,Opportunity,0,Low
16,Customer Support,Developer,1.78,0.98,,Opportunity,0,Low
17,Operations,Engineer,1.66,2.16,,Opportunity,0,Low
18,Sales,Developer,1.99,0.0,,Opportunity,0,Medium
19,Customer Support,Developer,1.01,0.62,,Weakness,1,High
20,Finance,Technician,1.23,1.72,,Opportunity,0,Low
21,Operations,Manager,1.36,2.24,,Opportunity,0,Low
22,Sales,Manager,2.16,1.73,,Opportunity,0,Medium
23,Finance,Specialist,2.48,2.26,,Opportunity,0,Low
24,Sales,Consultant,1.34,2.92,,Opportunity,0,Medium
25,HR,Analyst,1.63,1.86,,Opportunity,0,Low
26,Customer Support,Specialist,2.28,1.4,,Opportunity,1,High
27,Finance,Engineer,1.65,1.62,,Opportunity,0,Low
28,Legal,Manager,2.07,1.58,,Opportunity,0,Low
29,Engineering,Specialist,1.73,2.27,,Opportunity,0,Low
30,Finance,Analyst,1.91,2.9,,Opportunity,0,Medium
31,Customer Support,Consultant,1.12,3.24,,Opportunity,1,High
32,Legal,Manager,1.92,0.38,,Opportunity,0,Low
33,Customer Support,Analyst,2.15,0.86,,Opportunity,0,Medium
34,Sales,Engineer,2.02,1.97,,Opportunity,0,Low
35,Marketing,Analyst,1.66,1.0,,Opportunity,0,Low
36,HR,Engineer,1.89,1.73,,Opportunity,0,Low
37,Sales,Consultant,2.04,2.55,,Opportunity,0,Low
38,Sales,Consultant,1.07,0.64,,Weakness,0,Low
39,IT,Specialist,0.9,1.7,,Opportunity,1,High
40,HR,Engineer,1.98,2.28,,Opportunity,0,Low
41,HR,Analyst,2.06,1.75,,Opportunity,0,Low
42,Marketing,Specialist,1.73,3.34,,Opportunity,1,High
43,Customer Support,Engineer,2.28,1.1,,Opportunity,0,Low
44,Marketing,Manager,1.91,1.44,,Opportunity,0,Low
45,Customer Support,Developer,1.22,1.52,,Opportunity,0,Medium
46,HR,Specialist,1.37,1.44,,Opportunity,0,Low
47,HR,Technician,1.78,2.1,,Opportunity,0,Low
48,Operations,Specialist,1.64,3.67,,Opportunity,0,Medium
49,Legal,Specialist,2.83,1.88,,Opportunity,1,High
50,Operations,Developer,1.21,0.0,,Weakness,1,High
51,Legal,Consultant,1.41,1.85,,Opportunity,0,Low
52,HR,Developer,1.14,0.81,,Weakness,0,Low
53,Engineering,Consultant,1.86,0.8,,Opportunity,0,Low
54,Engineering,Technician,1.56,1.15,,Opportunity,0,Low
55,Operations,Technician,2.21,1.37,,Opportunity,0,Low
56,Marketing,Developer,1.51,0.54,,Opportunity,0,Low
57,Customer Support,Specialist,1.63,2.16,,Opportunity,0,Low
58,Finance,Developer,2.32,2.22,,Opportunity,0,Low
59,IT,Technician,1.65,3.34,,Opportunity,0,Low
60,Customer Support,Manager,1.34,1.84,,Opportunity,0,Low
61,Operations,Consultant,1.3,1.48,,Opportunity,0,Low
62,Engineering,Specialist,2.69,1.8,,Opportunity,0,Medium
63,Sales,Manager,1.92,2.06,,Opportunity,0,Low
64,Finance,Manager,1.69,0.09,,Opportunity,0,Low
65,Sales,Specialist,1.54,1.06,,Opportunity,0,Low
66,Legal,Technician,2.17,1.42,,Opportunity,0,Low
67,Sales,Manager,1.93,2.16,,Opportunity,0,Low
68,HR,Consultant,1.36,1.75,,Opportunity,0,Low
69,Operations,Specialist,1.64,0.5,,Opportunity,0,Low
70,Sales,Manager,0.78,0.92,,Weakness,1,High
71,IT,Developer,1.45,2.33,,Opportunity,0,Low
72,Engineering,Analyst,1.62,2.14,,Opportunity,0,Low
73,Sales,Developer,1.76,0.62,,Opportunity,0,Low
74,Legal,Developer,1.17,2.58,,Opportunity,0,Medium
75,HR,Consultant,0.92,0.62,,Weakness,1,High
76,Engineering,Consultant,2.38,1.73,,Opportunity,0,Low
77,Customer Support,Technician,2.23,1.67,,Opportunity,0,Low
78,Sales,Developer,2.36,1.85,,Opportunity,0,Low
79,Legal,Consultant,2.29,2.34,,Opportunity,0,Low
80,Customer Support,Specialist,1.24,1.35,,Opportunity,0,Low
81,Legal,Developer,1.65,1.55,,Opportunity,0,Low
82,Customer Support,Specialist,1.6,0.35,,Opportunity,0,Low
83,Engineering,Analyst,1.48,0.0,,Weakness,1,High
84,HR,Analyst,1.67,1.72,,Opportunity,0,Medium
85,Marketing,Specialist,1.37,1.5,,Opportunity,0,Low
86,Legal,Engineer,1.65,2.41,,Opportunity,0,Low
87,Marketing,Technician,1.42,2.42,,Opportunity,0,Low
88,Marketing,Technician,1.73,0.24,,Opportunity,1,High
89,Finance,Engineer,0.9,1.27,,Opportunity,0,Medium
90,Customer Support,Manager,1.72,1.45,,Opportunity,0,Low
91,Customer Support,Consultant,1.89,2.39,,Opportunity,0,Low
92,Legal,Developer,1.16,1.78,,Opportunity,0,Low
93,Finance,Manager,1.77,2.39,,Opportunity,0,Low
94,Engineering,Specialist,2.07,2.23,,Opportunity,0,Low
95,Operations,Developer,0.99,1.05,,Weakness,0,Low
96,Marketing,Manager,1.73,2.01,,Opportunity,0,Low
97,Engineering,Specialist,1.68,0.04,,Opportunity,0,Low
98,Finance,Manager,2.01,1.24,,Opportunity,0,Low
99,Sales,Developer,1.84,1.91,,Opportunity,0,Low
100,Customer Support,Manager,1.41,1.08,,Opportunity,0,Low
101,Finance,Engineer,1.51,0.57,,Opportunity,0,Low
102,IT,Consultant,1.58,2.13,,Opportunity,0,Low
103,IT,Consultant,2.39,3.6,,Opportunity,1,High
104,Engineering,Consultant,2.53,0.96,,Opportunity,0,Low
105,Customer Support,Technician,0.9,1.76,,Opportunity,1,High
106,Customer Support,Manager,1.44,0.54,,Weakness,0,Low
107,HR,Developer,1.54,0.28,,Opportunity,0,Low
108,Operations,Engineer,2.2,2.76,,Opportunity,0,Low
109,Sales,Consultant,1.43,1.44,,Opportunity,0,Low
110,Sales,Consultant,2.44,0.58,,Opportunity,0,Low
111,IT,Technician,1.92,3.18,,Opportunity,0,Low
112,Finance,Analyst,0.84,0.68,,Weakness,1,High
113,Legal,Technician,1.86,1.41,,Opportunity,0,Low
114,Customer Support,Consultant,1.83,2.04,,Opportunity,0,Low
115,Legal,Specialist,1.47,1.81,,Opportunity,0,Medium
116,Customer Support,Analyst,1.96,0.93,,Opportunity,0,Low
117,Legal,Manager,1.8,2.8,,Opportunity,0,Low
118,IT,Consultant,2.65,2.51,,Opportunity,0,Low
119,IT,Manager,1.99,1.13,,Opportunity,0,Low
120,Finance,Specialist,1.75,1.92,,Opportunity,0,Low
121,Customer Support,Specialist,0.93,2.07,,Opportunity,0,Low
122,Legal,Technician,1.5,1.19,,Opportunity,0,Low
123,Operations,Manager,1.96,2.35,,Opportunity,0,Low
124,Finance,Consultant,1.96,0.09,,Opportunity,0,Medium
125,IT,Engineer,1.31,1.68,,Opportunity,0,Low
126,Marketing,Developer,1.17,1.14,,Opportunity,1,High
127,Engineering,Consultant,2.06,1.95,,Opportunity,0,Low
128,Sales,Consultant,1.67,2.05,,Opportunity,0,Low
129,Sales,Developer,1.92,1.91,,Opportunity,0,Low
130,Sales,Engineer,0.97,2.48,,Opportunity,1,High
131,Engineering,Specialist,2.09,2.66,,Opportunity,0,Low
132,HR,Technician,2.11,0.9,,Opportunity,0,Low
133,Marketing,Manager,1.58,0.61,,Opportunity,0,Low
134,Operations,Consultant,2.03,2.29,,Opportunity,0,Low
135,Operations,Consultant,1.6,0.87,,Opportunity,0,Low
136,Sales,Analyst,2.55,1.53,,Opportunity,0,Medium
137,Legal,Analyst,1.35,1.14,,Opportunity,0,Low
138,Customer Support,Manager,2.02,3.46,,Opportunity,0,Medium
139,Finance,Technician,1.33,0.66,,Weakness,1,High
140,Legal,Specialist,0.92,1.38,,Opportunity,0,Medium
141,Engineering,Analyst,1.38,2.14,,Opportunity,0,Low
142,Customer Support,Specialist,1.59,1.72,,Opportunity,0,Low
143,Legal,Specialist,1.62,1.36,,Opportunity,0,Low
144,Customer Support,Analyst,2.31,2.37,,Opportunity,0,Low
145,Operations,Consultant,1.23,0.3,,Weakness,0,Low
146,Customer Support,Consultant,1.79,3.27,,Opportunity,0,Low
147,Legal,Engineer,1.55,0.27,,Opportunity,0,Low
148,Sales,Analyst,1.99,3.05,,Opportunity,0,Low
149,IT,Technician,1.18,3.73,,Opportunity,1,High
150,Finance,Analyst,1.38,0.81,,Weakness,0,Low
151,Operations,Consultant,1.88,0.97,,Opportunity,0,Low
152,Sales,Manager,1.6,1.45,,Opportunity,0,Medium
153,Marketing,Technician,2.75,2.34,,Opportunity,1,High
154,Customer Support,Specialist,1.78,3.01,,Opportunity,0,Medium
155,Legal,Engineer,2.38,3.09,,Opportunity,0,Low
156,Customer Support,Specialist,1.49,1.02,,Weakness,0,Medium
157,Legal,Manager,0.85,0.98,,Weakness,0,Medium
158,Operations,Analyst,1.78,2.5,,Opportunity,0,Low
159,Legal,Technician,1.61,1.23,,Opportunity,0,Low
160,Operations,Manager,2.21,1.74,,Opportunity,0,Low
161,Engineering,Manager,1.7,1.54,,Opportunity,0,Low
162,HR,Technician,2.54,1.72,,Opportunity,0,Low
163,Finance,Technician,2.53,0.0,,Opportunity,1,High
164,Legal,Analyst,1.45,1.6,,Opportunity,0,Low
165,Engineering,Analyst,1.61,1.02,,Opportunity,0,Low
166,Sales,Specialist,1.98,2.46,,Opportunity,0,Low
167,Sales,Manager,2.46,1.18,,Opportunity,0,Low
168,Legal,Analyst,2.84,1.24,,Opportunity,0,Medium
169,Legal,Specialist,2.11,1.73,,Opportunity,0,Low
170,Legal,Technician,2.27,2.6,,Opportunity,0,Low
171,Engineering,Manager,2.51,2.77,,Opportunity,0,Medium
172,Finance,Developer,1.64,2.92,,Opportunity,0,Low
173,Operations,Developer,1.37,1.34,,Opportunity,0,Low
174,Marketing,Specialist,2.29,0.52,,Opportunity,0,Low
175,Customer Support,Analyst,2.17,3.2,,Opportunity,0,Medium
176,Engineering,Developer,1.67,1.37,,Opportunity,0,Low
177,HR,Consultant,1.48,2.19,,Opportunity,0,Low
178,Customer Support,Analyst,2.27,0.11,,Opportunity,0,Low
179,Customer Support,Technician,1.54,1.47,,Opportunity,0,Low
180,Legal,Manager,1.67,2.54,,Opportunity,0,Low
181,Legal,Technician,1.05,1.61,,Opportunity,0,Low
182,Legal,Manager,1.96,2.85,,Opportunity,0,Low
183,Sales,Technician,1.91,1.58,,Opportunity,0,Low
184,Customer Support,Manager,2.27,1.86,,Opportunity,0,Low
185,Finance,Technician,1.88,2.06,,Opportunity,0,Low
186,HR,Manager,2.33,2.81,,Opportunity,0,Low
